Designator,Mid X,Mid Y,Rotation,Layer
C1,105.583082,-120.992954,180.0,top
C10,102.993082,-162.517954,90.0,top
C11,105.583082,-170.992954,180.0,top
C12,102.993082,-172.517954,90.0,top
C13,105.583082,-180.992954,180.0,top
C14,102.993082,-182.517954,90.0,top
C15,105.583082,-190.992954,180.0,top
C16,102.993082,-192.517954,90.0,top
C17,105.583082,-200.992954,180.0,top
C18,102.993082,-202.517954,90.0,top
C19,105.583082,-210.992954,180.0,top
C2,102.993082,-122.517954,90.0,top
C20,102.993082,-212.517954,90.0,top
C21,91.84,-92.764936,90.0,top
C22,91.61,-96.139936,270.0,top
C23,93.6,-98.924936,180.0,top
C24,93.775,-100.744936,180.0,top
C25,92.78,-71.829936,90.0,top
C26,100.78,-70.764936,90.0,top
C3,105.583082,-130.992954,180.0,top
C31,121.995,-96.074936,180.0,top
C32,105.35,-116.464936,0.0,top
C33,95.445,-216.654936,0.0,top
C4,102.993082,-132.517954,90.0,top
C5,105.583082,-140.992954,180.0,top
C6,102.993082,-142.517954,90.0,top
C7,105.583082,-150.992954,180.0,top
C8,102.993082,-152.517954,90.0,top
C9,105.583082,-160.992954,180.0,top
D1,103.31,-96.155838,270.0,top
D2,92.5,-77.704936,0.0,top
D3,92.5,-79.344936,0.0,top
H1,124.82,-75.284939,90.0,top
H2,102.580005,-112.014936,0.0,top
H3,119.82,-92.684936,0.0,top
M_1,105.570064,-124.053018,0.0,top
M_10,105.570064,-214.053018,0.0,top
M_2,105.570064,-134.053018,0.0,top
M_3,105.570064,-144.053018,0.0,top
M_4,105.570064,-154.053018,0.0,top
M_5,105.570064,-164.053018,0.0,top
M_6,105.570064,-174.053018,0.0,top
M_7,105.570064,-184.053018,0.0,top
M_8,105.570064,-194.053018,0.0,top
M_9,105.570064,-204.053018,0.0,top
R1,97.29,-74.874936,0.0,top
R10,95.389248,-84.243993,270.0,top
R11,95.389248,-88.168993,90.0,top
R2,124.28,-88.544936,180.0,top
R3,102.285,-99.054936,0.0,top
R4,97.675,-77.714936,180.0,top
R5,97.675,-79.344936,180.0,top
R7,115.33,-90.024936,0.0,top
SW1001,96.565,-72.129936,0.0,top
SW1002,124.54,-84.844936,270.0,top
U0,111.67,-75.544936,0.0,top
U1,97.41,-95.840785,90.0,top
U2,119.34,-104.910985,270.0,top
USB2,92.629134,-86.039025,270.0,top
